scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time
DEU_LocationALower-36_113_T-1,14,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",9,8,2.3126602172851562e-05,0.03520512580871582,0.03802061080932617,0.09530782699584961
DEU_LocationALower-36_123_T-1,15,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-36_199_T-1,19,R_G1,not repairable,"{'g', 'b', 'c', 'h', '~e', 'a', 'f', 'd'}",2,1,7.390975952148438e-05,0.06337118148803711,0.1336667537689209,0.1971118450164795
DEU_LocationALower-36_208_T-1,8,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",3,2,2.5272369384765625e-05,0.015671730041503906,0.03888082504272461,0.09213900566101074
DEU_LocationALower-36_236_T-1,6,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-36_263_T-1,15,R_G1,not repairable,"{'g', 'b', 'c', 'h', '~e', 'a', 'f', 'd'}",3,2,9.72747802734375e-05,0.11982583999633789,0.15228033065795898,0.2722034454345703
DEU_LocationALower-36_269_T-1,18,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",4,3,2.4557113647460938e-05,0.026189804077148438,0.07648301124572754,0.15581655502319336
DEU_LocationALower-36_291_T-1,13,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",11,10,2.384185791015625e-05,0.033713340759277344,0.033644676208496094,0.08606886863708496
DEU_LocationALower-36_61_T-1,9,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",15,14,2.4318695068359375e-05,0.04441952705383301,0.028612136840820312,0.10261321067810059
DEU_LocationALower-37_1_T-1,11,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",1,0,2.3603439331054688e-05,0.014797687530517578,0.09385848045349121,0.1523904800415039
DEU_LocationALower-37_121_T-1,16,R_G1,not repairable,"{'g', 'b', 'c', 'h', '~e', 'a', 'f', 'd'}",5,4,7.748603820800781e-05,0.10292696952819824,0.1226356029510498,0.22564005851745605
DEU_LocationALower-37_205_T-1,15,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",15,14,2.4318695068359375e-05,0.041825056076049805,0.028365135192871094,0.08221769332885742
DEU_LocationALower-37_231_T-1,23,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",5,4,2.47955322265625e-05,0.02526545524597168,0.05440163612365723,0.13388442993164062
DEU_LocationALower-37_235_T-1,8,R_G1,not repairable,"{'g', 'b', 'c', 'h', '~e', 'a', 'f', 'd'}",4,3,7.891654968261719e-05,0.08878922462463379,0.09934616088867188,0.18821430206298828
DEU_LocationALower-37_240_T-1,8,R_G1,not repairable,"{'g', 'b', 'c', 'h', '~e', 'a', 'f', 'd'}",1,-inf,8.988380432128906e-05,0.10039043426513672,0,0.10048031806945801
DEU_LocationALower-37_4_T-1,22,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",3,2,2.3365020751953125e-05,0.019408464431762695,0.06824612617492676,0.1409306526184082
Nr of scenarios,79,Nr of infeasible trajectories,0,0.0,Nr of repairable trajectories,65,0.8228
