Nr of scenarios,111,Nr of infeasible trajectories,0,0,Nr of repairable trajectories,110,0.991,,,,,,,,
DEU_AachenFrankenburg-1_225620_T-5639,10507,R_IN4,bingo,"{'~j', '~d', '~o'}",11,0,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.83718109130859E-05,0.00011444091796875,0.0883867740631104,0.1177659034729,21,1,31.3345985293335,
DEU_AachenBendplatz-1_101260_T-1279,10083,R_IN4,bingo,"{'~n', '~j'}",11,0,[<Maneuver.BRAKE: 'brake'>],2.55107879638672E-05,8.96453857421875E-05,0.0554170608520508,0.0789494514465332,7,1,3.45506818037424,
DEU_AachenFrankenburg-1_265260_T-5279,10453,R_IN4,bingo,"{'~b', '~e', '~h', '~d', '~a', '~c', '~f', '~g', '~j', '~i'}",9,0,[<Maneuver.BRAKE: 'brake'>],2.93254852294922E-05,0.000156402587890625,0.0796921253204346,0.111214876174927,27,1,2.82570503552825,
DEU_AachenFrankenburg-1_206020_T-6039,10462,R_IN4,bingo,"{'~n', '~j'}",5,0,[<Maneuver.BRAKE: 'brake'>],2.57492065429687E-05,9.05990600585938E-05,0.0673816204071045,0.103284358978271,19,1,56.749154991445,
DEU_AachenBendplatz-1_13720_T-739,10057,R_IN4,bingo,"{'~n', '~j'}",3,0,[<Maneuver.BRAKE: 'brake'>],2.45571136474609E-05,7.46250152587891E-05,0.0861320495605469,0.118402481079102,9,1,7.30438079551059,
DEU_AachenFrankenburg-1_2120_T-39,10023,R_IN4,bingo,"{'~n', '~j'}",3,0,[<Maneuver.BRAKE: 'brake'>],2.71797180175781E-05,9.36985015869141E-05,0.117961883544922,0.153294563293457,22,1,49.310422252796,
DEU_AachenBendplatz-1_83000_T-3019,10226,R_IN4,bingo,"{'~b', '~n', '~c', '~g', '~j', '~i'}",4,0,[<Maneuver.BRAKE: 'brake'>],3.12328338623047E-05,8.53538513183594E-05,0.0527157783508301,0.0764248371124268,7,1,5.64517815636613,
DEU_AachenFrankenburg-1_232260_T-2279,10208,R_IN4,bingo,"{'~g', '~n', '~j'}",5,0,[<Maneuver.BRAKE: 'brake'>],2.64644622802734E-05,7.2479248046875E-05,0.0756886005401611,0.11169695854187,21,1,73.6928078948681,
DEU_AachenBendplatz-1_92340_T-2359,10140,R_IN4,bingo,"{'~n', '~f', '~c', '~g', '~j', '~i'}",5,0,[<Maneuver.BRAKE: 'brake'>],2.45571136474609E-05,0.000113725662231445,0.0511062145233154,0.0757322311401367,7,1,18.8119112557113,
DEU_AachenBendplatz-1_84260_T-4279,10324,R_IN4,bingo,"{'~b', '~n', '~c', '~a', '~j'}",6,0,[<Maneuver.BRAKE: 'brake'>],2.50339508056641E-05,9.48905944824219E-05,0.056654691696167,0.0800809860229492,10,1,3.96170176279617,
DEU_AachenFrankenburg-1_264440_T-4459,10391,R_IN4,bingo,"{'~g', '~n', '~j'}",8,0,[<Maneuver.BRAKE: 'brake'>],2.62260437011719E-05,7.34329223632812E-05,0.129515409469605,0.16274881362915,23,1,22.7127586830701,
DEU_AachenBendplatz-1_1740_T-59,10003,R_IN4,bingo,"{'~n', '~j', '~i'}",9,0,[<Maneuver.BRAKE: 'brake'>],2.16960906982422E-05,6.50882720947266E-05,0.0722293853759766,0.103087902069092,11,1,7.05660472154296,
DEU_AachenBendplatz-1_15160_T-179,10016,R_IN4,bingo,"{'~n', '~j'}",9,0,[<Maneuver.BRAKE: 'brake'>],3.17096710205078E-05,9.89437103271484E-05,0.0555095672607422,0.0791010856628418,10,1,3.64338360755214,
DEU_AachenBendplatz-1_152620_T-2639,10164,R_IN4,bingo,"{'~n', '~j'}",12,0,[<Maneuver.BRAKE: 'brake'>],2.43186950683594E-05,8.08238983154297E-05,0.0683841705322266,0.0980291366577148,7,1,2.50778096401234,
DEU_AachenBendplatz-1_8740_T-759,10051,R_IN4,bingo,"{'~n', '~h', '~d', '~f', '~a', '~j'}",12,0,[<Maneuver.BRAKE: 'brake'>],2.40802764892578E-05,9.5367431640625E-05,0.0576379299163818,0.0817902088165283,8,1,3.08942311885416,
DEU_AachenBendplatz-1_8340_T-359,10030,R_IN4,bingo,"{'~n', '~j', '~d'}",12,0,[<Maneuver.BRAKE: 'brake'>],2.88486480712891E-05,9.34600830078125E-05,0.10296893119812,0.134105205535889,7,1,58.719437307718,
DEU_AachenBendplatz-1_93620_T-3639,10217,R_IN4,bingo,"{'~n', '~j'}",13,0,[<Maneuver.BRAKE: 'brake'>],2.81333923339844E-05,8.41617584228516E-05,0.103004217147827,0.133364677429199,7,1,44.6466448063413,
DEU_AachenBendplatz-1_121860_T-1879,10102,R_IN4,bingo,"{'~n', '~j'}",13,0,[<Maneuver.BRAKE: 'brake'>],2.62260437011719E-05,9.5367431640625E-05,0.10812783241272,0.142868518829346,11,1,151.522943308197,27.2232231106546
