scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations
DEU_AachenBendplatz-1_84580_T-4599,10361,R_IN1,error/failed with 'NoneType' object has no attribute 'position',{'a'},14,-inf,[],2.0265579223632812e-05,3.4332275390625e-05,0,5.459785461425781e-05,6,1
DEU_AachenBendplatz-1_81520_T-1539,10114,R_IN1,bingo,"{'b', '~a'}",14,0,[<Maneuver.BRAKE: 'brake'>],4.482269287109375e-05,0.00012254714965820312,0.09270119667053223,0.1299147605895996,10,2
DEU_AachenBendplatz-1_73200_T-3219,10123,R_IN1,"error/failed with Initial longitudinal velocity -0.0010997987536059055 exceeds valid velocity interval [0, 50.8].","{'~a', '~b', 'd', '~e'}",16,0,[],6.866455078125e-05,0.00018668174743652344,0.11723852157592773,0.11749386787414551,9,4
DEU_AachenBendplatz-1_151520_T-1539,10108,R_IN1,bingo,"{'b', '~a'}",15,0,[<Maneuver.BRAKE: 'brake'>],3.62396240234375e-05,0.00010347366333007812,0.09913825988769531,0.13694453239440918,9,2
DEU_AachenBendplatz-1_101840_T-1859,10111,R_IN1,bingo,"{'b', '~a'}",17,0,[<Maneuver.BRAKE: 'brake'>],3.814697265625e-05,0.00012922286987304688,0.16414594650268555,0.2096855640411377,12,2
DEU_AachenBendplatz-1_121740_T-1759,10096,R_IN1,bingo,"{'b', '~a'}",17,0,[<Maneuver.BRAKE: 'brake'>],4.220008850097656e-05,0.00012636184692382812,0.18189120292663574,0.23512530326843262,7,2
DEU_AachenBendplatz-1_1720_T-39,10013,R_IN1,error/failed with 'NoneType' object has no attribute 'position',{'a'},16,-inf,[],2.288818359375e-05,3.409385681152344e-05,0,5.698204040527344e-05,11,1
DEU_AachenBendplatz-1_161200_T-1219,10100,R_IN1,bingo,"{'b', '~a'}",17,0,[<Maneuver.BRAKE: 'brake'>],3.6716461181640625e-05,0.00010919570922851562,0.10503315925598145,0.13780546188354492,12,2
DEU_AachenBendplatz-1_133380_T-3399,10235,R_IN1,bingo,{'b'},18,0,[<Maneuver.BRAKE: 'brake'>],2.1457672119140625e-05,8.130073547363281e-05,0.14616060256958008,0.19229698181152344,8,1
DEU_AachenBendplatz-1_15920_T-939,10064,R_IN1,bingo,"{'b', '~a'}",18,0,[<Maneuver.BRAKE: 'brake'>],3.361701965332031e-05,9.274482727050781e-05,0.11170721054077148,0.15719246864318848,8,2
DEU_AachenBendplatz-1_122600_T-2619,10162,R_IN1,bingo,"{'b', '~a'}",18,0,[<Maneuver.BRAKE: 'brake'>],4.410743713378906e-05,0.00012421607971191406,0.12559175491333008,0.16942739486694336,10,2
DEU_AachenBendplatz-1_112180_T-2199,10139,R_IN1,bingo,"{'b', '~a'}",17,0,[<Maneuver.BRAKE: 'brake'>],3.647804260253906e-05,0.00010752677917480469,0.09234738349914551,0.12060546875,7,2
DEU_AachenBendplatz-1_174480_T-4499,10329,R_IN1,bingo,{'b'},18,0,[<Maneuver.BRAKE: 'brake'>],2.3603439331054688e-05,8.392333984375e-05,0.11467266082763672,0.15655303001403809,11,1
DEU_AachenBendplatz-1_82620_T-2639,10197,R_IN1,bingo,{'b'},18,0,[<Maneuver.BRAKE: 'brake'>],2.09808349609375e-05,7.43865966796875e-05,0.13669633865356445,0.1755526065826416,8,1
DEU_AachenBendplatz-1_133560_T-3579,10256,R_IN4,error/failed with maximum recursion depth exceeded in comparison,"{'~a', '~b', '~d', '~c', '~i', 'o', '~e', '~k', '~j', '~g', '~m', 'n', '~f', 'h'}",4,0,[],0.0001087188720703125,0.00026798248291015625,0.11326766014099121,0.11364436149597168,9,4
DEU_AachenBendplatz-1_162440_T-2459,10193,R_IN4,error/failed with maximum recursion depth exceeded in comparison,"{'~a', '~b', '~d', '~c', '~i', 'o', '~e', '~k', '~j', '~g', '~m', 'n', '~f', 'h'}",5,0,[],0.00010633468627929688,0.00021719932556152344,0.11444902420043945,0.11477255821228027,11,4
DEU_AachenBendplatz-1_153060_T-3079,10203,R_IN4,error/failed with maximum recursion depth exceeded in comparison,"{'~a', '~b', '~d', '~c', '~i', 'o', '~e', '~k', '~j', '~g', '~m', 'n', '~f', 'h'}",6,0,[],0.00010228157043457031,0.0002498626708984375,0.1183309555053711,0.1186830997467041,7,4
DEU_AachenFrankenburg-1_206020_T-6039,10462,R_IN4,bingo,"{'~j', '~n'}",5,0,[<Maneuver.BRAKE: 'brake'>],2.5033950805664062e-05,7.462501525878906e-05,0.06962108612060547,0.10482335090637207,19,1
