scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles
DEU_LocationALower-34_179_T-1,15,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",12,11,2.5272369384765625e-05,0.03491950035095215,0.03551840782165527,0.1068882942199707,15
DEU_LocationALower-34_37_T-1,9,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",2,1,2.4080276489257812e-05,0.014887809753417969,0.08960080146789551,0.1410048007965088,16
DEU_LocationALower-34_49_T-1,10,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",3,2,2.47955322265625e-05,0.02681732177734375,0.05453658103942871,0.11728096008300781,8
DEU_LocationALower-34_96_T-1,14,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",8,7,2.47955322265625e-05,0.037221431732177734,0.03598332405090332,0.09745907783508301,9
DEU_LocationALower-35_126_T-1,20,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",2,1,2.5033950805664062e-05,0.015650033950805664,0.06274008750915527,0.11779260635375977,15
DEU_LocationALower-35_263_T-1,12,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",1,0,2.5033950805664062e-05,0.014838933944702148,0.06627321243286133,0.13968110084533691,12
DEU_LocationALower-35_34_T-1,19,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",14,13,2.6226043701171875e-05,0.028043031692504883,0.02907562255859375,0.0890665054321289,12
DEU_LocationALower-36_113_T-1,14,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",9,8,2.5272369384765625e-05,0.036477088928222656,0.03675198554992676,0.09546685218811035,12
DEU_LocationALower-36_123_T-1,15,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",7,6,2.4080276489257812e-05,0.03748154640197754,0.046695709228515625,0.129075288772583,13
DEU_LocationALower-36_199_T-1,19,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",2,1,2.5272369384765625e-05,0.015807151794433594,0.07162761688232422,0.1445448398590088,11
DEU_LocationALower-36_208_T-1,8,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",3,2,2.5987625122070312e-05,0.01619744300842285,0.036388397216796875,0.07084321975708008,16
DEU_LocationALower-36_236_T-1,6,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",1,0,2.0742416381835938e-05,0.008587121963500977,0.030165433883666992,0.0590670108795166,5
