Nr of scenarios,124,Nr of infeasible trajectories,0,0,Nr of repairable trajectories,123,0.9919,,,,,,,,
DEU_AachenBendplatz-1_81520_T-1539,10114,R_IN1,bingo,"{'~a', 'b'}",14,13,[<Maneuver.BRAKE: 'brake'>],3.55243682861328E-05,0.0305814743041992,0.031639575958252,0.0714657306671143,10,2,98.273686231977,
DEU_AachenBendplatz-1_73200_T-3219,10123,R_IN1,bingo,"{'~a', 'b', '~e'}",16,15,[<Maneuver.BRAKE: 'brake'>],4.81605529785156E-05,0.0453774929046631,0.0280239582061768,0.0799317359924316,9,3,77.3819348633348,
DEU_AachenBendplatz-1_151520_T-1539,10108,R_IN1,bingo,"{'~a', 'b'}",15,13,[<Maneuver.BRAKE: 'brake'>],3.52859497070312E-05,0.0384857654571533,0.0299830436706543,0.0774731636047363,9,2,102.095304183584,
DEU_AachenBendplatz-1_101840_T-1859,10111,R_IN1,bingo,"{'~a', 'b'}",17,14,[<Maneuver.BRAKE: 'brake'>],3.48091125488281E-05,0.0341527462005615,0.0315084457397461,0.0738077163696289,12,2,183.215490952331,
DEU_AachenBendplatz-1_121740_T-1759,10096,R_IN1,bingo,"{'~a', 'b'}",17,15,[<Maneuver.BRAKE: 'brake'>],4.1961669921875E-05,0.0349438190460205,0.0289750099182129,0.0707812309265137,7,2,63.1093250151241,
DEU_AachenBendplatz-1_1720_T-39,10013,R_IN1,bingo,"{'~a', 'b'}",16,15,[<Maneuver.BRAKE: 'brake'>],3.48091125488281E-05,0.0359084606170654,0.0318241119384766,0.0747280120849609,11,2,85.22499939764,
DEU_AachenBendplatz-1_161200_T-1219,10100,R_IN1,bingo,"{'~a', 'b'}",17,15,[<Maneuver.BRAKE: 'brake'>],3.52859497070312E-05,0.0439732074737549,0.029655933380127,0.0802645683288574,12,2,45.7934175854053,
DEU_AachenBendplatz-1_133380_T-3399,10235,R_IN1,bingo,{'b'},18,16,[<Maneuver.BRAKE: 'brake'>],2.07424163818359E-05,0.0339889526367187,0.0279355049133301,0.067685604095459,8,1,94.3274998063676,
DEU_AachenBendplatz-1_15920_T-939,10064,R_IN1,bingo,"{'~a', 'b'}",18,16,[<Maneuver.BRAKE: 'brake'>],4.1961669921875E-05,0.0338387489318848,0.0284533500671387,0.068289041519165,8,2,81.8449974595117,
DEU_AachenBendplatz-1_122600_T-2619,10162,R_IN1,bingo,"{'~a', 'b'}",18,16,[<Maneuver.BRAKE: 'brake'>],3.62396240234375E-05,0.0346708297729492,0.028003454208374,0.0682764053344727,10,2,78.8574999987122,
DEU_AachenBendplatz-1_112180_T-2199,10139,R_IN1,bingo,"{'~a', 'b'}",17,16,[<Maneuver.BRAKE: 'brake'>],3.4332275390625E-05,0.0447101593017578,0.0271656513214111,0.0775325298309326,7,2,82.5549387211821,
DEU_AachenBendplatz-1_174480_T-4499,10329,R_IN1,bingo,{'b'},18,17,[<Maneuver.BRAKE: 'brake'>],2.26497650146484E-05,0.035775899887085,0.0318105220794678,0.0724866390228272,11,1,16.0963887624014,
DEU_AachenBendplatz-1_82620_T-2639,10197,R_IN1,bingo,{'b'},18,17,[<Maneuver.BRAKE: 'brake'>],2.6702880859375E-05,0.035367488861084,0.026289701461792,0.0661008358001709,8,1,8.67405789129713,90.65256568893
DEU_AachenBendplatz-1_154820_T-4839,10300,R_IN1,not repairable,"{'~a', '~c', '~b', '~e', '~d'}",13,12,[],8.20159912109375E-05,0.027148962020874,0.0291683673858643,0.0563993453979492,7,5,,
DEU_AachenFrankenburg-1_184060_T-4079,10290,R_IN4,bingo,"{'~n', '~j', '~d'}",1,0,[<Maneuver.BRAKE: 'brake'>],2.57492065429687E-05,0.0292019844055176,0.0677073001861572,0.125377416610718,20,1,21.1401626317382,
DEU_AachenBendplatz-1_16640_T-659,10046,R_IN4,bingo,"{'~f', '~e', '~j', '~n', '~d'}",1,0,[<Maneuver.BRAKE: 'brake'>],3.07559967041016E-05,0.0361883640289307,0.0859568119049072,0.152325868606567,10,1,135.777037918081,
DEU_AachenBendplatz-1_145000_T-5019,10367,R_IN4,bingo,"{'~n', '~j'}",6,0,[<Maneuver.BRAKE: 'brake'>],2.69412994384766E-05,0.0707035064697266,0.0710084438323975,0.164887428283691,10,1,0.171921235389348,
DEU_AachenBendplatz-1_102160_T-2179,10126,R_IN4,bingo,"{'~h', '~g', 'n', '~i', '~j', '~o'}",7,0,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",4.93526458740234E-05,0.14904522895813,0.10096263885498,0.2791588306427,13,2,0.102240001851538,
