scenario_id,ego_id,rule,repairer_type,planner,sat_solver_mode,success,iterations,tv,tc,updated_tv,domain_dict_size,domain_dict_time,sat_time,constraint_extraction_time,constraint_conversion_time,lp_time,trajectory_build_time,compliance_check_time,core_total_time,wall_time,error
DEU_AachenBendplatz-1_83540_T-3559,10269,R_IN1,vp,2,domain_dpll,True,1,13,0,inf,3,4.410743713378906e-05,4.220008850097656e-05,0.00019598007202148438,0.0003142356872558594,0.0021386146545410156,0.00027751922607421875,0.0,0.0030126571655273438,0.9771661758422852,
DEU_AachenBendplatz-1_83540_T-3559,10269,R_IN1,smt,2,dpll,False,0,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9350426197052002,ValueError: x and/or y coordinate outside of projection domain
DEU_AachenBendplatz-1_113760_T-3779,10254,R_IN1,vp,2,domain_dpll,True,1,8,0,inf,3,4.1961669921875e-05,2.6226043701171875e-05,0.00018215179443359375,0.0004093647003173828,0.002493143081665039,0.0004665851593017578,0.0,0.0036194324493408203,0.9730708599090576,
DEU_AachenBendplatz-1_113760_T-3779,10254,R_IN1,smt,2,dpll,True,2,8,6,1.6,0,0.0,5.698204040527344e-05,0.0,0.0,0.0,0.0,0.0,0.22240543365478516,1.365410327911377,
DEU_AachenBendplatz-1_93760_T-3779,10229,R_IN1,vp,2,domain_dpll,True,1,6,0,inf,3,3.8623809814453125e-05,2.7418136596679688e-05,0.0001780986785888672,0.00042176246643066406,0.002691507339477539,0.00026679039001464844,0.0,0.0036242008209228516,0.961146354675293,
DEU_AachenBendplatz-1_93760_T-3779,10229,R_IN1,smt,1,dpll,True,3,6,3,1.6,0,0.0,4.649162292480469e-05,0.0,0.0,0.0,0.0,0.0,0.3410627841949463,1.6102123260498047,
DEU_AachenBendplatz-1_141960_T-1979,10140,R_IN1,vp,2,domain_dpll,True,1,8,0,inf,3,8.177757263183594e-05,4.839897155761719e-05,0.0003807544708251953,0.0006875991821289062,0.003192424774169922,0.00048542022705078125,0.0,0.004876375198364258,1.0017445087432861,
DEU_AachenBendplatz-1_141960_T-1979,10140,R_IN1,smt,1,dpll,True,2,8,4,1.6,0,0.0,5.1975250244140625e-05,0.0,0.0,0.0,0.0,0.0,0.6955852508544922,2.1244423389434814,
DEU_AachenBendplatz-1_81000_T-1019,10078,R_IN1,vp,2,domain_dpll,True,1,9,0,inf,3,4.3392181396484375e-05,2.574920654296875e-05,0.00018334388732910156,0.0003180503845214844,0.0027284622192382812,0.0005593299865722656,0.0,0.003858327865600586,1.0126113891601562,
DEU_AachenBendplatz-1_81000_T-1019,10078,R_IN1,smt,1,dpll,True,2,9,4,inf,0,0.0,3.457069396972656e-05,0.0,0.0,0.0,0.0,0.0,0.6796548366546631,2.1999266147613525,
DEU_AachenBendplatz-1_122260_T-2279,10128,R_IN1,vp,2,domain_dpll,True,1,11,0,inf,3,4.38690185546875e-05,2.956390380859375e-05,0.00017952919006347656,0.00044727325439453125,0.0025212764739990234,0.00026297569274902344,0.0,0.003484487533569336,1.0324018001556396,
DEU_AachenBendplatz-1_122260_T-2279,10128,R_IN1,smt,2,dpll,True,2,11,10,2.2,0,0.0,4.315376281738281e-05,0.0,0.0,0.0,0.0,0.0,0.11591911315917969,1.429870367050171,
DEU_AachenBendplatz-1_163720_T-3739,10270,R_IN1,vp,2,domain_dpll,True,1,8,0,inf,3,4.76837158203125e-05,2.8371810913085938e-05,0.00017595291137695312,0.0002923011779785156,0.0022003650665283203,0.00026726722717285156,0.0,0.003011941909790039,1.139953851699829,
DEU_AachenBendplatz-1_163720_T-3739,10270,R_IN1,smt,2,dpll,True,2,8,6,1.8,0,0.0,3.218650817871094e-05,0.0,0.0,0.0,0.0,0.0,0.21716642379760742,1.3159902095794678,
DEU_AachenBendplatz-1_13840_T-859,10063,R_IN1,vp,2,domain_dpll,True,1,8,0,inf,3,4.00543212890625e-05,2.574920654296875e-05,0.0001881122589111328,0.00032138824462890625,0.0019774436950683594,0.00021839141845703125,0.0,0.002771139144897461,0.9532713890075684,
DEU_AachenBendplatz-1_13840_T-859,10063,R_IN1,smt,1,dpll,True,2,8,4,1.8,0,0.0,2.86102294921875e-05,0.0,0.0,0.0,0.0,0.0,1.0622491836547852,2.298576593399048,
DEU_AachenBendplatz-1_81940_T-1959,10157,R_IN1,vp,2,domain_dpll,True,1,8,0,inf,3,4.4345855712890625e-05,2.8371810913085938e-05,0.00020599365234375,0.0003409385681152344,0.0023589134216308594,0.0002980232238769531,0.0,0.0032765865325927734,1.1484622955322266,
DEU_AachenBendplatz-1_81940_T-1959,10157,R_IN1,smt,1,dpll,True,2,8,4,1.6,0,0.0,3.314018249511719e-05,0.0,0.0,0.0,0.0,0.0,0.7838881015777588,2.6603198051452637,
DEU_AachenBendplatz-1_171180_T-1199,10090,R_IN1,vp,2,domain_dpll,True,1,8,0,inf,3,4.553794860839844e-05,2.9802322387695312e-05,0.00018906593322753906,0.0003159046173095703,0.002195119857788086,0.0002772808074951172,0.0,0.0030527114868164062,2.03311824798584,
DEU_AachenBendplatz-1_171180_T-1199,10090,R_IN1,smt,1,dpll,True,2,8,4,1.8,0,0.0,4.00543212890625e-05,0.0,0.0,0.0,0.0,0.0,0.8033468723297119,3.1048460006713867,
DEU_AachenBendplatz-1_171380_T-1399,10107,R_IN1,vp,2,domain_dpll,True,1,8,0,1.6,3,4.076957702636719e-05,2.7179718017578125e-05,0.0001552104949951172,0.00037407875061035156,0.002023935317993164,0.00027632713317871094,0.0,0.002897500991821289,1.0110421180725098,
DEU_AachenBendplatz-1_171380_T-1399,10107,R_IN1,smt,2,dpll,True,3,8,5,inf,0,0.0,4.887580871582031e-05,0.0,0.0,0.0,0.0,0.0,0.31223511695861816,1.5342540740966797,
DEU_AachenBendplatz-1_14360_T-379,10028,R_IN1,vp,2,domain_dpll,True,1,9,0,inf,3,3.647804260253906e-05,2.5987625122070312e-05,0.0001838207244873047,0.0003216266632080078,0.0025916099548339844,0.00026488304138183594,0.0,0.003424406051635742,1.0063197612762451,
DEU_AachenBendplatz-1_14360_T-379,10028,R_IN1,smt,2,dpll,False,5,9,6,,0,0.0,8.845329284667969e-05,0.0,0.0,0.0,0.0,0.0,0.03837943077087402,1.0112261772155762,repair returned None
DEU_AachenBendplatz-1_132180_T-2199,10158,R_IN1,vp,2,domain_dpll,True,1,9,0,inf,3,4.792213439941406e-05,2.8133392333984375e-05,0.0001990795135498047,0.0003342628479003906,0.0021715164184570312,0.00032329559326171875,0.0,0.0031042098999023438,1.2507503032684326,
DEU_AachenBendplatz-1_132180_T-2199,10158,R_IN1,smt,1,dpll,True,2,9,5,1.8,0,0.0,3.337860107421875e-05,0.0,0.0,0.0,0.0,0.0,0.7861843109130859,2.753208875656128,
DEU_AachenBendplatz-1_134380_T-4399,10309,R_IN1,vp,2,domain_dpll,True,1,10,0,inf,3,5.602836608886719e-05,3.218650817871094e-05,0.0002753734588623047,0.00047516822814941406,0.002318143844604492,0.00028014183044433594,0.0,0.003437042236328125,1.5421900749206543,
DEU_AachenBendplatz-1_134380_T-4399,10309,R_IN1,smt,2,dpll,False,0,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2446074485778809,ValueError: x and/or y coordinate outside of projection domain
DEU_AachenBendplatz-1_125580_T-5599,10402,R_IN1,vp,2,domain_dpll,True,1,10,0,inf,3,4.482269287109375e-05,2.86102294921875e-05,0.00018835067749023438,0.00031685829162597656,0.002318143844604492,0.00028061866760253906,0.0,0.0031774044036865234,1.211404800415039,
DEU_AachenBendplatz-1_125580_T-5599,10402,R_IN1,smt,2,dpll,True,2,10,9,2.0,0,0.0,3.0517578125e-05,0.0,0.0,0.0,0.0,0.0,0.10971450805664062,1.7241272926330566,
DEU_AachenBendplatz-1_102320_T-2339,10147,R_IN1,vp,2,domain_dpll,True,1,11,0,inf,3,3.9577484130859375e-05,2.5987625122070312e-05,0.00016808509826660156,0.0002899169921875,0.0021305084228515625,0.00025844573974609375,0.0,0.0029125213623046875,1.0083012580871582,
DEU_AachenBendplatz-1_102320_T-2339,10147,R_IN1,smt,2,dpll,False,0,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7488799095153809,ValueError: x and/or y coordinate outside of projection domain
DEU_AachenBendplatz-1_102160_T-2179,10130,R_IN1,vp,2,domain_dpll,True,1,12,0,inf,3,4.2438507080078125e-05,2.6226043701171875e-05,0.000202178955078125,0.0003185272216796875,0.0021469593048095703,0.0002694129943847656,0.0,0.0030057430267333984,1.083796501159668,
DEU_AachenBendplatz-1_102160_T-2179,10130,R_IN1,smt,2,dpll,False,0,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0583913326263428,ValueError: x and/or y coordinate outside of projection domain
DEU_AachenBendplatz-1_144920_T-4939,10367,R_IN1,vp,2,domain_dpll,True,1,16,0,3.4000000000000004,3,5.030632019042969e-05,2.574920654296875e-05,0.00017213821411132812,0.00040793418884277344,0.0031158924102783203,0.00028395652770996094,0.0,0.004055976867675781,1.006617784500122,
DEU_AachenBendplatz-1_144920_T-4939,10367,R_IN1,smt,2,dpll,True,1,16,15,3.2,0,0.0,2.1219253540039062e-05,0.0,0.0,0.0,0.0,0.0,0.0547337532043457,1.1461453437805176,
DEU_AachenBendplatz-1_83420_T-3439,10262,R_IN1,vp,2,domain_dpll,True,1,11,0,inf,3,4.5299530029296875e-05,2.6464462280273438e-05,0.00018644332885742188,0.0003154277801513672,0.0024394989013671875,0.00027441978454589844,0.0,0.0032875537872314453,0.9458837509155273,
DEU_AachenBendplatz-1_83420_T-3439,10262,R_IN1,smt,1,dpll,True,2,11,7,2.2,0,0.0,3.170967102050781e-05,0.0,0.0,0.0,0.0,0.0,0.41637468338012695,1.787522554397583,
DEU_AachenBendplatz-1_124320_T-4339,10290,R_IN1,vp,2,domain_dpll,True,1,11,0,inf,3,4.57763671875e-05,2.86102294921875e-05,0.00020766258239746094,0.0003440380096435547,0.0021724700927734375,0.0002803802490234375,0.0,0.003078937530517578,1.0305588245391846,
DEU_AachenBendplatz-1_124320_T-4339,10290,R_IN1,smt,1,dpll,True,2,11,7,2.2,0,0.0,5.221366882324219e-05,0.0,0.0,0.0,0.0,0.0,0.5815598964691162,2.074843406677246,
