cohort,old_solver_feasible,old_monitor_compliant,old_success,old_core_total_time,old_num_binary_variables,scenario_id,scenario_path,ego_id,rule,repeat,encoding,num_steps,solver_feasible,monitor_compliant,success,specification_time,solver_setup_time,solve_time,core_total_time,validation_time,gurobi_runtime,num_variables,num_binary_variables,num_constraints,solver_status,mip_gap,robustness,updated_tv,updated_other_id,updated_diagnostics,candidate_sd_at_tv,error,rule_semantics,fixed_other_id,vp_tv,result_provenance,validation_scope,dataset_cohort,result_source_csv
all_cases,True,True,True,1.7747174569994968,357,DEU_LocationALower-13_239_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-13_239_T-1.xml,18,R_G1,0,standard,21,True,True,True,0.00808390499878442,0.8030838960003166,0.015465184000277077,0.8266329849993781,0.09452113900078984,0.014677047729492188,1472,357,2187,2,0.0,0.009999999996807674,inf,,,,,,,14,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
all_cases,True,True,True,2.140141471998504,357,DEU_LocationALower-13_241_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-13_241_T-1.xml,20,R_G1,0,standard,21,True,True,True,0.006876233999719261,0.8181384899999102,0.012197640999147552,0.837212364998777,0.10728004799966584,0.011495113372802734,1472,357,2187,2,0.0,0.009999999995898179,inf,,,,,,,18,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
all_cases,True,True,True,1.4661574700003257,357,DEU_LocationALower-13_247_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-13_247_T-1.xml,15,R_G1,0,standard,21,True,True,True,0.006372687999828486,0.8162511690006795,0.019077173999903607,0.8417010310004116,0.0979028460005793,0.018290042877197266,1472,357,2187,2,0.0,0.009999999994988684,inf,,,,,,,8,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
all_cases,True,True,True,2.091869122998105,378,DEU_LocationALower-13_29_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-13_29_T-1.xml,18,R_G1,0,standard,21,True,True,True,0.008070212999882642,0.860731297001621,0.015107711000382551,0.8839092210018862,0.11960837400147284,0.014297962188720703,1535,378,2271,2,1.5106882773325868e-15,0.00999999999942247,inf,,,,,,,19,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
all_cases,True,True,True,1.4584451480004645,378,DEU_LocationALower-13_56_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-13_56_T-1.xml,10,R_G1,0,standard,21,True,True,True,0.01250484899901494,0.8471041359989613,0.014255280000725179,0.8738642649987014,0.1142384819995641,0.01347804069519043,1535,378,2271,2,0.0,0.009999999999536158,inf,,,,,,,13,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
all_cases,True,True,True,1.611955491000117,378,DEU_LocationALower-11_110_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-11_110_T-1.xml,16,R_G1,0,standard,21,True,True,True,0.011141421000502305,0.834591893999459,0.015192700000625337,0.8609260150005866,0.12475920100041549,0.014286041259765625,1535,378,2271,2,2.635508704131421e-15,0.009999999999536158,inf,,,,,,,8,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
all_cases,True,True,True,1.9634121560011408,357,DEU_LocationALower-14_161_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-14_161_T-1.xml,21,R_G1,0,standard,21,True,True,True,0.007129180999982054,0.8267803029993956,0.012335584000538802,0.8462450679999165,0.11247113500030537,0.011476993560791016,1472,357,2187,2,0.0,0.009999999995898179,inf,,,,,,,15,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
all_cases,True,True,True,2.1547985640008847,378,DEU_LocationALower-14_219_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-14_219_T-1.xml,12,R_G1,0,standard,21,True,True,True,0.011420373999499134,0.8669577969994862,0.023637206000785227,0.9020153769997705,0.11020635599925299,0.022782087326049805,1535,378,2271,2,1.8645712401985922e-15,0.00999999999942247,inf,,,,,,,8,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
all_cases,True,True,True,1.7175665009999648,378,DEU_LocationALower-14_247_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-14_247_T-1.xml,16,R_G1,0,standard,21,True,True,True,0.008390699000301538,0.8730716279987973,0.013914348999605863,0.8953766759987047,0.12026696899920353,0.013183116912841797,1535,378,2271,2,0.0,0.00999999999942247,inf,,,,,,,13,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
all_cases,True,True,True,1.5979732209998474,378,DEU_LocationALower-14_252_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-14_252_T-1.xml,12,R_G1,0,standard,21,True,True,True,0.006863048000013805,0.9053052870003739,0.01659223300157464,0.9287605680019624,0.09867360000134795,0.015876054763793945,1535,378,2271,2,2.638317329004474e-15,0.00999999999942247,inf,,,,,,,18,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
