rule_group,scenario_id,ego_id,sat_solver_mode,monitor_ok,repair_ok,repaired,tv,tv_class,rule_to_tv,rule_to_tv_classes,iterations,error_type,error,captured_failure_lines,potential_masked_bug,wall_time
R_G1,DEU_LocationALower-31_31_T-1,15,dpll,True,True,True,17,finite_positive,{'R_G1': 17},{'R_G1': 'finite_positive'},1,,,,False,0.9288284778594971
R_G1,DEU_LocationALower-31_31_T-1,15,domain_dpll,True,True,True,17,finite_positive,{'R_G1': 17},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,0.9593462944030762
R_G1,DEU_LocationALower-31_47_T-1,13,dpll,True,True,True,7,finite_positive,{'R_G1': 7},{'R_G1': 'finite_positive'},1,,,,False,0.9355099201202393
R_G1,DEU_LocationALower-31_47_T-1,13,domain_dpll,True,True,True,7,finite_positive,{'R_G1': 7},{'R_G1': 'finite_positive'},2,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane' | * 	<VPRepairer>: VP repair failed for current SAT model: Infeasible lane constraint at time step 1 with prop in_same_lane__0_1.",False,0.94075608253479
R_G1,DEU_LocationALower-32_117_T-1,17,dpll,True,True,True,12,finite_positive,{'R_G1': 12},{'R_G1': 'finite_positive'},1,,,,False,0.9720394611358643
R_G1,DEU_LocationALower-32_117_T-1,17,domain_dpll,True,True,True,12,finite_positive,{'R_G1': 12},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,0.9835724830627441
R_G1,DEU_LocationALower-32_136_T-1,16,dpll,True,True,True,1,finite_positive,{'R_G1': 1},{'R_G1': 'finite_positive'},1,,,,False,1.2676923274993896
R_G1,DEU_LocationALower-32_136_T-1,16,domain_dpll,True,True,True,11,finite_positive,{'R_G1': 11},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,1.039109468460083
R_G1,DEU_LocationALower-32_186_T-1,12,dpll,True,True,True,10,finite_positive,{'R_G1': 10},{'R_G1': 'finite_positive'},1,,,,False,0.9900658130645752
R_G1,DEU_LocationALower-32_186_T-1,12,domain_dpll,True,True,True,10,finite_positive,{'R_G1': 10},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,1.0225167274475098
R_G1,DEU_LocationALower-32_70_T-1,14,dpll,True,True,True,15,finite_positive,{'R_G1': 15},{'R_G1': 'finite_positive'},1,,,,False,0.9948809146881104
R_G1,DEU_LocationALower-32_70_T-1,14,domain_dpll,True,True,True,15,finite_positive,{'R_G1': 15},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,1.0060744285583496
R_G1,DEU_LocationALower-32_84_T-1,13,dpll,True,True,True,8,finite_positive,{'R_G1': 8},{'R_G1': 'finite_positive'},1,,,,False,0.9119391441345215
R_G1,DEU_LocationALower-32_84_T-1,13,domain_dpll,True,True,True,8,finite_positive,{'R_G1': 8},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,0.9248449802398682
R_G1,DEU_LocationALower-33_142_T-1,10,dpll,True,True,True,5,finite_positive,{'R_G1': 5},{'R_G1': 'finite_positive'},1,,,,False,1.0188441276550293
R_G1,DEU_LocationALower-33_142_T-1,10,domain_dpll,True,True,True,5,finite_positive,{'R_G1': 5},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,1.0093626976013184
R_G1,DEU_LocationALower-33_16_T-1,12,dpll,True,True,True,12,finite_positive,{'R_G1': 12},{'R_G1': 'finite_positive'},1,,,,False,1.1602234840393066
