scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,num_obstacles
DEU_AachenBendplatz-1_92340_T-2359,10140,R_IN4,bingo,"{'~j', '~n', '~f', '~c', '~g', '~i'}",5,4,2.57492065429687e-05,0.0455307960510254,0.0328505039215088,0.0982227325439453,0.66
DEU_AachenBendplatz-1_13940_T-959,10069,R_IN4,bingo,"{'~j', '~a', '~n', '~h'}",6,4,2.52723693847656e-05,0.0802385807037354,0.0522379875183106,0.154667615890503,0.0
DEU_AachenBendplatz-1_84260_T-4279,10324,R_IN4,bingo,"{'~j', '~a', '~n', '~b', '~c'}",6,5,2.14576721191406e-05,0.0583665370941162,0.0376536846160889,0.113566398620605,1.33
DEU_AachenBendplatz-1_1780_T-99,10004,R_IN4,bingo,"{'~j', '~a', '~d', '~n', '~h'}",8,5,2.14576721191406e-05,0.0883734226226807,0.0609467029571533,0.168587923049927,0.8
DEU_AachenBendplatz-1_141560_T-1579,10098,R_IN4,bingo,"{'~j', '~n'}",7,6,2.09808349609375e-05,0.0931844711303711,0.0421385765075684,0.152109861373901,0.24
DEU_AachenFrankenburg-1_264440_T-4459,10391,R_IN4,bingo,"{'~j', '~g', '~n'}",8,7,2.59876251220703e-05,0.0797827243804932,0.0331976413726807,0.129095554351807,1.18
DEU_AachenBendplatz-1_15160_T-179,10016,R_IN4,bingo,"{'~j', '~n'}",9,8,1.76429748535156e-05,0.0856127738952637,0.0306155681610107,0.129241943359375,0.04
DEU_AachenBendplatz-1_152620_T-2639,10164,R_IN4,bingo,"{'~j', '~n'}",12,8,1.83582305908203e-05,0.0842282772064209,0.0294449329376221,0.129242658615112,0.67
DEU_AachenBendplatz-1_8740_T-759,10051,R_IN4,bingo,"{'~j', '~a', '~d', '~n', '~f', '~h'}",12,8,2.40802764892578e-05,0.0902631282806397,0.0345695018768311,0.139315843582153,0.77
DEU_AachenBendplatz-1_93620_T-3639,10217,R_IN4,bingo,"{'~j', '~n'}",13,11,1.85966491699219e-05,0.118157148361206,0.0253455638885498,0.154096364974976,0.88
DEU_AachenBendplatz-1_121860_T-1879,10102,R_IN4,bingo,"{'~j', '~n'}",13,11,1.93119049072266e-05,0.109472274780273,0.0278451442718506,0.147848606109619,0.99
